NC,NN,MC,MN,qtd_domicilios,cod_uf,uf,D2C,ano,D3C,variavel,cod_categoria,categoria
3,Unidade da Federação,1020,Unidades,3581.0,43,Rio Grande do Sul,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,1092.0,43,Rio Grande do Sul,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,979669.0,50,Mato Grosso do Sul,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,889419.0,50,Mato Grosso do Sul,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,33833.0,50,Mato Grosso do Sul,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,54320.0,50,Mato Grosso do Sul,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,1737.0,50,Mato Grosso do Sul,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,68.0,50,Mato Grosso do Sul,2022,2022,381,Domicílios particulares permanentes ocupados,71976,Habitação indígena sem paredes ou maloca
3,Unidade da Federação,1020,Unidades,292.0,50,Mato Grosso do Sul,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,1278142.0,51,Mato Grosso,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,1150895.0,51,Mato Grosso,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,35479.0,51,Mato Grosso,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,81157.0,51,Mato Grosso,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,6771.0,51,Mato Grosso,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,3188.0,51,Mato Grosso,2022,2022,381,Domicílios particulares permanentes ocupados,71976,Habitação indígena sem paredes ou maloca
3,Unidade da Federação,1020,Unidades,652.0,51,Mato Grosso,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,2572930.0,52,Goiás,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,2221473.0,52,Goiás,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,57724.0,52,Goiás,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,272791.0,52,Goiás,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,20102.0,52,Goiás,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,840.0,52,Goiás,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,988191.0,53,Distrito Federal,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,604991.0,53,Distrito Federal,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,36049.0,53,Distrito Federal,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,338250.0,53,Distrito Federal,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,7828.0,53,Distrito Federal,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,1073.0,53,Distrito Federal,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
