uf,ano,mes,temp_media_mensal,temp_minima_mensal,temp_minima_absoluta,radiacao_kwh_m2_dia,amplitude_termica_diaria,n_dias,regiao_br,cop_ashp_agua,energia_solar_util_kwh_m2_dia
BA,2021,11,25.194811983051164,21.45038,14.1,4.963263,8.665443,30,Nordeste,3.5319,2.4816
BA,2021,12,24.79385833222029,21.592514,15.6,4.6166573,7.4920464,31,Nordeste,3.5098,2.3083
BA,2022,1,25.015617603501514,20.817432,12.5,5.6238747,9.410012,31,Nordeste,3.522,2.8119
BA,2022,2,25.85379246348781,21.389633,15.1,5.82431,9.8149605,28,Nordeste,3.5686,2.9122
BA,2022,3,25.4575442373547,21.219261,14.9,5.3578386,9.441984,31,Nordeste,3.5465,2.6789
BA,2022,4,25.440939618116555,20.70242,14.3,5.187171,10.150001,30,Nordeste,3.5456,2.5936
BA,2022,5,24.152790607657657,19.293736,7.4,4.626838,10.213002,31,Nordeste,3.4746,2.3134
BA,2022,6,22.857907309453942,17.491898,7.3,4.128757,11.079927,30,Nordeste,3.4047,2.0644
BA,2022,7,22.58705641416192,17.338144,9.8,4.418652,10.745818,31,Nordeste,3.3903,2.2093
BA,2022,8,23.223336754481096,17.394571,9.3,5.0872316,11.725516,31,Nordeste,3.4243,2.5436
BA,2022,9,24.49992896661561,18.942926,10.7,5.356494,11.493073,30,Nordeste,3.4936,2.6782
